Price,Rooms,ROI
222510.0,2,7
450000.0,4,8
279000.0,2,6
332035.0,3,7
218929.0,2,7
253935.0,3,8
403914.0,4,8
239514.0,2,7
512000.0,3,5
230440.0,1,5
196180.0,1,6
267779.0,2,6
239750.0,2,7
399000.0,2,6
324000.0,2,6
225000.0,1,6
632000.0,4,8
175000.0,2,9
390000.0,2,6
288000.0,4,8
189000.0,2,8
286000.0,4,8
260000.0,1,6
250000.0,2,7
349154.97,4,8
310000.0,3,7
310000.0,3,7
